('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         892134 function calls (870946 primitive calls) in 1.824 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5484    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
       88    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
     4302    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4693    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4432    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      344    0.001    0.000    1.224    0.004 socket.py:706(readinto)
     4341    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      603    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     90/1    0.001    0.000    1.824    1.824 {built-in method builtins.exec}
     1056    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
      344    0.001    0.000    1.223    0.004 ssl.py:1289(recv_into)
    119/3    0.001    0.000    0.175    0.058 <frozen importlib._bootstrap>:1349(_find_and_load)
      145    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      169    0.000    0.000    0.005    0.000 _compiler.py:514(_compile_info)
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      105    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       11    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      127    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
     3870    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      169    0.000    0.000    0.069    0.000 _compiler.py:743(compile)
       88    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      145    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     3970    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     7521    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
     2655    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       10    0.000    0.000    0.002    0.000 enum.py:898(_convert_)
      653    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      176    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      957    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      692    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
     4431    0.000    0.000    0.000    0.000 _lxml.py:412(_prefix_for_namespace)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       43    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      728    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
    112/4    0.000    0.000    0.173    0.043 <frozen importlib._bootstrap>:911(_load_unlocked)
      169    0.000    0.000    0.041    0.000 _parser.py:970(parse)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      182    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
1685/1679    0.000    0.000    0.003    0.000 {built-in method builtins.getattr}
    119/3    0.000    0.000    0.174    0.058 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        9    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
    257/7    0.000    0.000    0.172    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      344    0.000    0.000    1.223    0.004 ssl.py:1129(read)
       99    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      302    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      169    0.000    0.000    0.001    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       88    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      774    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
      414    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      771    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1286    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      763    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      635    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
       11    0.000    0.000    0.334    0.030 __init__.py:1(<module>)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      344    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      166    0.000    0.000    0.002    0.000 _lxml.py:465(comment)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     88/4    0.000    0.000    0.173    0.043 <frozen importlib._bootstrap_external>:1020(exec_module)
      694    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      169    0.000    0.000    0.027    0.000 _compiler.py:576(_code)
     1468    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      512    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    1.824    1.824 financial_enhanced.py:1(<module>)
      169    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
  690/642    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  195/160    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       24    0.000    0.000    0.001    0.000 client.py:567(_get_chunk_left)
      754    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      323    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.059    0.059 dammit.py:1(<module>)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       10    0.000    0.000    0.000    0.000 request.py:408(add_handler)
  112/109    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      118    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      700    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      275    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       55    0.000    0.000    1.016    0.018 {method 'readline' of '_io.BufferedReader' objects}
      331    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      106    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      145    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       42    0.000    0.000    0.001    0.000 typing.py:753(Union)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       24    0.000    0.000    0.000    0.000 client.py:537(_read_next_chunk_size)
      548    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      344    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      255    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       54    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      266    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
      906    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      144    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      281    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.004    0.004 _compression.py:113(readall)
      634    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      311    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       89    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      275    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      132    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
        1    0.000    0.000    1.452    1.452 financial_enhanced.py:20(request_url)
      169    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.041    0.041 css_parser.py:1(<module>)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x000001C454A3CCC0}
      119    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    1.652    1.652 financial_enhanced.py:48(main)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       40    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      235    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      103    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
      109    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      284    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      943    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      230    0.000    0.000    0.071    0.000 __init__.py:287(compile)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      345    0.000    0.000    0.000    0.000 socket.py:744(readable)
      286    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       41    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      338    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
       42    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      710    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      710    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
       12    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
      129    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
      121    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      110    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        1    0.000    0.000    0.210    0.210 client.py:591(_read_chunked)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       46    0.000    0.000    0.209    0.005 client.py:635(_safe_read)
      266    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      105    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.115    0.115 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      297    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
      187    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      355    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.004    0.002 utils.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2316(__init__)
      169    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
    48/34    0.000    0.000    0.063    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      399    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
       18    0.000    0.000    0.000    0.000 enum.py:498(__new__)
      195    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      690    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        2    0.000    0.000    0.012    0.006 ssl.py:515(_load_windows_store_certs)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       88    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      118    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
       69    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.036    0.036 request.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
       45    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
      346    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       36    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       88    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      144    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
