('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         998852 function calls (974113 primitive calls) in 7.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.001    0.001    7.597    7.597 financial.py:35(main)
     6527    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      295    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      340    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     9387    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      948    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     3871    0.001    0.000    0.001    0.000 element.py:2355(get)
      271    0.001    0.000    0.005    0.000 response.py:137(decompress)
     4400    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     5331    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6320    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      200    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       12    0.001    0.000    0.206    0.017 {method 'join' of 'bytes' objects}
     1135    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4854    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4558    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      209    0.001    0.000    0.006    0.000 _compiler.py:514(_compile_info)
     4274    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
    216/3    0.001    0.000    0.247    0.082 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      876    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
      304    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
     3904    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      196    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4400    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      170    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      209    0.000    0.000    0.082    0.000 _compiler.py:743(compile)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
2583/2577    0.000    0.000    0.003    0.000 {built-in method builtins.getattr}
     1419    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
    56/16    0.000    0.000    0.009    0.001 css_parser.py:925(parse_selectors)
       23    0.000    0.000    0.601    0.026 __init__.py:1(<module>)
     4070    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    196/3    0.000    0.000    0.246    0.082 <frozen importlib._bootstrap>:911(_load_unlocked)
       10    0.000    0.000    0.002    0.000 enum.py:898(_convert_)
      826    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      992    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      133    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
     7487    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      209    0.000    0.000    0.049    0.000 _parser.py:970(parse)
      340    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       72    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     1532    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     4399    0.000    0.000    0.000    0.000 _lxml.py:412(_prefix_for_namespace)
     1054    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     2614    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      345    0.000    0.000    1.276    0.004 ssl.py:1289(recv_into)
      945    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1053    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
    170/3    0.000    0.000    0.246    0.082 <frozen importlib._bootstrap_external>:1020(exec_module)
      207    0.000    0.000    0.001    0.000 enum.py:1607(__and__)
     1144    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1647    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      927    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
     1018    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      510    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
    88/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      182    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      204    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      333    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      345    0.000    0.000    1.277    0.004 socket.py:706(readinto)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      414    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
  196/193    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1020    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      271    0.000    0.000    0.206    0.001 response.py:1368(read_chunked)
      214    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      428    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      209    0.000    0.000    0.032    0.000 _compiler.py:576(_code)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      577    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       60    0.000    0.000    0.002    0.000 typing.py:753(Union)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
       56    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
    449/6    0.000    0.000    0.244    0.041 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
  234/194    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        6    0.000    0.000    0.001    0.000 typing.py:2998(__new__)
      788    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      829    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       28    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    7.844    7.844 financial.py:1(<module>)
      142    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
      352    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
  752/686    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      166    0.000    0.000    0.001    0.000 _lxml.py:465(comment)
      251    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      829    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       23    0.000    0.000    0.001    0.000 enum.py:498(__new__)
        7    0.000    0.000    0.000    0.000 enum.py:965(_find_data_repr_)
      204    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      328    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      501    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      345    0.000    0.000    1.276    0.004 ssl.py:1129(read)
       64    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
        1    0.000    0.000    0.056    0.056 dammit.py:1(<module>)
      216    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
  171/168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
