ingredient,calories_pct,protein_pct,fat_pct,sodium_pct
lamb shank,32026.1,72905.85,43757.69,20996.17
lasagna,36.75,98.0,53.21,66.41
leafy green,22.25,44.87,36.83,32.03
leek,29.61,72.36,42.79,44.69
legume,30.49,45.1,53.01,34.35
lemon,24.11,39.9,35.89,24.38
lemon juice,18.58,17.48,21.99,15.8
lemongrass,23.9,55.67,38.19,45.94
lentil,23.1,45.62,25.5,26.35
lettuce,23.57,48.47,40.81,33.29
lima bean,22.52,44.51,29.78,16.81
lime,19.55,37.16,26.77,27.59
lime juice,17.62,29.08,26.27,20.9
lingonberry,23.28,35.6,34.87,33.77
liqueur,18.56,9.17,17.66,12.3
lobster,31.93,116.0,37.31,76.7
lychee,20.61,13.2,22.05,1.53
macadamia nut,26.36,20.95,41.12,12.29
mango,23.27,36.14,29.59,23.62
maple syrup,23.47,31.82,32.52,30.63
marsala,43.47,128.0,61.95,102.98
marscarpone,26.93,12.67,36.32,12.52
marshmallow,12.68,6.67,13.25,7.06
mayonnaise,22.28,33.18,43.5,26.33
meat,1982.27,4515.18,2721.69,1333.44
meatball,16.6,36.67,16.24,47.12
meatloaf,33.95,122.0,50.0,38.09
melon,12.18,12.8,10.0,13.13
mezcal,28.4,2.0,0.0,0.61
midori,14.37,9.5,7.37,3.53
milk/cream,25.21,30.34,37.66,23.86
mint,21.42,37.42,32.06,19.22
molasses,20.68,26.3,24.62,24.57
monterey jack,31.48,49.76,42.81,41.71
mozzarella,33.54,61.47,50.5,47.79
mushroom,33.68,74.74,53.97,46.93
mussel,28.5,89.46,32.7,70.05
mustard,30.4,65.29,54.58,39.64
mustard greens,26.77,50.75,44.93,21.3
nectarine,27.37,19.13,30.18,10.84
noodle,33.73,65.06,40.89,53.27
nut,3291.49,998.51,4819.69,2648.8
nutmeg,23.12,23.84,27.9,14.19
oat,15.24,10.82,16.25,6.69
oatmeal,14.18,19.67,12.82,6.84
octopus,23.89,78.67,24.79,50.22
okra,21.47,47.07,33.5,24.65
olive,26.7,53.25,44.6,42.37
onion,27.21,59.57,40.64,35.8
orange,23.53,33.73,32.58,23.5
orange juice,23.98,47.33,30.88,64.78
oregano,32.53,69.03,60.48,94.08
orzo,8.35,24.0,8.97,42.52
oyster,44.54,158.79,40.06,138.55
papaya,15.4,21.5,14.01,16.56
paprika,30.37,58.63,57.17,43.46
parmesan,28.71,48.25,41.74,36.21
parsley,611.9,912.2,186.47,896.99
parsnip,30.91,50.04,50.45,22.17
passion fruit,22.01,13.47,26.58,7.05
pasta,33.23,59.82,37.88,34.76
pea,29.17,57.15,41.44,29.73
peach,23.15,20.49,23.76,17.56
peanut,24.65,37.68,37.86,27.82
peanut butter,21.03,20.92,32.45,15.8
pear,8035.86,2504.79,11744.93,6501.61
pecan,29.85,19.5,43.29,13.69
pepper,22.18,44.39,33.3,43.22
pernod,19.21,45.3,28.33,23.02
persimmon,32.1,14.4,42.56,12.14
phyllo/puff pastry dough,25.64,23.88,40.18,17.32
pickles,17.72,47.33,28.63,46.32
pine nut,28.08,38.81,47.94,21.23
pineapple,24.03,25.85,26.13,15.03
pistachio,24.49,27.22,35.59,13.02
plantain,33.27,45.33,55.13,27.0
plum,25.34,23.04,31.77,12.92
poblano,39.69,103.2,64.87,26.69
pomegranate,22.78,36.34,32.33,25.19
pomegranate juice,28.0,36.4,41.28,13.95
poppy,15.38,18.13,24.53,14.6
pork,35.34,83.41,54.79,58.12
pork chop,33.9,105.35,50.57,45.99
pork rib,58.85,130.13,106.1,107.04
pork tenderloin,27.44,86.59,34.75,38.84
port,38.84,89.83,59.46,31.57
potato,29.5,58.03,42.08,37.32
poultry,47.14,134.77,76.33,45.87
poultry sausage,47.07,107.4,83.46,33.52
prosciutto,34.86,96.58,51.14,110.25
prune,41.02,57.28,53.87,22.36
pumpkin,30.93,25.74,45.48,20.46
quail,34.55,93.17,61.22,20.61
quince,37.83,25.83,38.57,13.36
quinoa,19.95,32.67,24.62,18.1
rabbit,47.42,177.2,55.64,42.56
rack of lamb,62.26,92.0,132.69,35.91
radicchio,13.02,17.17,21.79,18.09
radish,15.64,25.82,26.25,21.24
raisin,1464.09,3293.58,1985.38,957.34
raspberry,23.94,12.41,27.29,7.93
red wine,41.91,85.02,67.93,27.04
rhubarb,22.52,20.92,19.69,10.81
rice,1037.58,2348.3,1410.43,696.19
ricotta,35.51,58.16,51.53,30.47
rosé,,,,
rum,25.41,19.12,27.54,10.74
rutabaga,29.97,57.19,45.83,26.9
rye,9.42,2.4,0.32,0.19
saffron,24.97,62.52,31.38,34.84
sage,37.14,87.24,57.88,40.03
sake,18.74,47.08,20.22,42.07
salmon,26.67,65.96,44.35,77.7
salsa,25.65,41.0,50.0,50.26
sardine,24.85,138.0,28.21,33.78
sausage,40.17,87.65,60.06,59.79
scallop,30.43,123.01,29.65,123.67
scotch,28.64,35.14,12.64,24.96
seafood,28.07,82.79,39.35,79.04
seed,22.51,32.49,39.97,18.41
semolina,14.71,19.0,13.68,17.13
sesame,23.35,51.5,39.36,30.84
sesame oil,13.79,16.57,26.19,31.47
shallot,27.68,51.54,49.35,27.93
shellfish,29.27,89.42,37.0,85.57
sherry,33.0,83.54,53.23,39.66
shrimp,27.25,74.06,36.41,71.49
snapper,25.77,94.13,33.44,153.38
sour cream,26.86,29.12,42.25,20.2
sourdough,27.45,46.0,46.15,37.61
soy,26.28,70.08,37.21,51.17
soy sauce,25.86,68.18,38.46,56.64
sparkling wine,15.78,22.46,5.77,13.89
spice,461.45,683.95,154.22,662.51
spinach,22.49,42.54,35.55,28.51
spirit,14.42,8.3,6.78,19.08
squash,24.88,31.18,36.15,22.03
squid,32.24,79.06,45.55,40.22
steak,33.53,81.95,60.9,32.1
stock,1.88,4.0,3.21,1.76
strawberry,21.89,11.23,27.05,6.85
sugar snap pea,21.76,54.58,27.59,24.23
sweet potato/yam,27.43,43.07,33.31,21.31
swiss cheese,27.41,54.13,44.47,37.1
swordfish,39.89,77.2,71.15,28.8
tamarind,51.82,129.62,92.47,119.71
tangerine,31.42,25.36,28.97,30.24
tapioca,136399.14,36416.91,200081.47,108995.5
tarragon,22.67,56.28,37.4,41.86
tea,11.43,12.73,8.07,10.82
tequila,13.95,12.22,10.16,38.34
thyme,32.68,67.38,52.26,38.33
tilapia,24.28,65.33,38.46,14.59
tofu,24.15,49.52,40.22,36.24
tomatillo,15.4,28.25,25.89,18.6
tomato,27.58,61.57,39.98,39.35
tortillas,26.52,49.92,41.22,31.2
tree nut,23.11,23.08,37.28,14.77
triple sec,15.1,4.27,11.81,2.7
tropical fruit,23.85,23.26,24.36,15.75
trout,42.48,115.67,76.83,44.12
tuna,24.91,63.03,33.36,31.02
turnip,26.59,50.76,39.15,28.51
vanilla,26.29,14.23,33.39,8.69
veal,35.55,127.53,49.18,59.72
vegetable,278.56,623.95,382.74,197.02
venison,69.51,188.0,125.64,56.1
vermouth,3.93,0.0,0.0,0.19
vinegar,20.76,38.29,32.57,43.74
vodka,11.85,5.93,3.89,5.95
walnut,6627.94,1786.28,9724.68,5292.85
wasabi,22.03,39.65,39.06,31.05
watercress,25.63,47.86,48.59,24.49
watermelon,11.71,10.67,6.98,6.49
wheat/gluten-free,315.61,344.77,453.61,243.53
whiskey,30.97,33.13,36.91,21.27
white wine,36.02,96.51,50.67,55.36
whole wheat,17.25,17.27,18.47,18.68
wild rice,32.81,69.83,39.42,34.03
wine,27.69,51.42,38.82,25.67
yellow squash,14.24,15.05,17.88,18.14
yogurt,21.34,43.9,32.01,21.05
yuca,21.82,47.2,17.95,24.83
zucchini,20.41,36.22,30.1,25.85
turkey,43.24,170.59,53.56,94.99
